3連単,型00_1号艇一強_王道型,型01_6号艇エース_展開型,型02_5号艇エース_展開型,型03_1号艇一強_王道型,型04_6号艇ド弱_壁抜け型,型05_イン凹み_中枠強襲型,型06_4カド一撃型,型07_2号艇ド弱_壁抜け型,型08_5号艇エース_展開型,型09_1強_6号艇ド弱型,型10_イン凹み_中枠強襲型,型11_5号艇エース_展開型
4-2-6,0.2,0.46,0.89,0.84,0.07,0.59,0.82,0.31,0.26,0.47,0.19,0.39
4-3-1,0.53,0.12,0.41,0.35,1.22,0.56,1.01,1.5,0.26,0.31,0.19,0.19
4-3-2,0.17,0.0,0.45,0.17,0.79,0.77,0.38,0.58,0.31,0.26,0.39,0.19
4-3-5,0.17,0.17,0.48,0.2,1.0,0.73,0.24,1.16,0.72,0.26,0.53,0.15
4-3-6,0.22,0.21,0.59,0.17,0.36,0.63,0.62,0.58,0.05,0.26,0.43,0.05
4-5-1,0.53,0.29,0.63,0.87,0.72,0.73,0.1,0.72,1.44,0.99,0.43,0.39
4-5-2,0.31,0.25,0.89,0.38,0.57,0.7,0.1,0.31,1.24,0.52,0.24,0.63
4-5-3,0.25,0.17,0.74,0.23,0.86,0.52,0.1,0.37,0.72,0.36,0.48,0.1
4-5-6,0.17,0.54,1.71,0.38,0.21,0.7,0.14,0.51,0.26,0.31,0.48,0.34
4-6-1,0.2,0.54,0.59,0.49,0.14,0.28,0.96,0.41,0.0,0.05,0.19,0.44
4-6-2,0.06,0.12,0.52,0.46,0.14,0.63,0.72,0.31,0.1,0.21,0.19,0.19
4-6-3,0.08,0.12,0.67,0.15,0.14,0.45,0.58,0.2,0.1,0.1,0.24,0.15
4-6-5,0.11,0.25,0.97,0.26,0.14,0.42,0.19,0.34,0.1,0.05,0.29,0.39
5-1-2,0.64,0.54,0.97,0.35,0.21,0.28,0.19,0.1,1.08,0.47,0.63,1.46
5-1-3,0.81,0.25,0.67,0.23,0.14,0.24,0.1,0.37,1.19,0.52,0.96,0.68
5-1-4,0.45,0.21,1.15,0.75,0.29,0.49,0.1,0.44,0.77,0.47,0.24,0.78
5-1-6,0.39,0.41,1.23,0.41,0.07,0.35,0.14,0.37,0.46,0.05,1.06,1.7
5-2-1,0.48,0.12,0.33,0.38,0.21,0.31,0.14,0.07,0.93,0.21,0.48,1.07
5-2-3,0.22,0.12,0.3,0.09,0.29,0.45,0.0,0.03,0.98,0.21,0.53,0.49
5-2-4,0.11,0.21,0.45,0.23,0.14,0.24,0.05,0.14,0.72,0.16,0.1,0.49
5-2-6,0.14,0.17,0.3,0.15,0.0,0.21,0.14,0.03,0.26,0.05,0.67,1.16
5-3-1,0.17,0.12,0.26,0.09,0.14,0.24,0.14,0.31,0.67,0.05,0.58,0.29
5-3-2,0.14,0.12,0.26,0.06,0.07,0.17,0.05,0.14,0.72,0.1,0.72,0.24
5-3-4,0.14,0.12,0.26,0.06,0.07,0.17,0.0,0.1,0.52,0.0,0.39,0.15
5-3-6,0.03,0.12,0.33,0.03,0.0,0.1,0.0,0.1,0.1,0.0,0.63,0.53
5-4-1,0.36,0.12,0.74,0.41,0.21,0.21,0.14,0.34,0.77,0.36,0.43,0.39
5-4-2,0.11,0.04,0.45,0.17,0.14,0.52,0.1,0.1,0.67,0.36,0.05,0.19
5-4-3,0.11,0.08,0.37,0.09,0.21,0.24,0.0,0.27,0.52,0.05,0.39,0.15
5-4-6,0.17,0.21,1.04,0.26,0.14,0.52,0.05,0.37,0.36,0.0,0.48,0.73
5-6-1,0.14,0.37,0.63,0.12,0.0,0.07,0.05,0.1,0.15,0.05,0.87,1.12
5-6-2,0.2,0.25,0.26,0.06,0.0,0.07,0.0,0.1,0.26,0.0,0.58,1.02
5-6-3,0.11,0.21,0.15,0.0,0.0,0.07,0.0,0.07,0.05,0.0,0.96,0.53
5-6-4,0.03,0.25,0.33,0.12,0.0,0.1,0.1,0.03,0.36,0.0,0.43,0.63
6-1-2,0.22,0.95,0.19,0.23,0.14,0.28,0.77,0.1,0.1,0.05,0.43,0.73
6-1-3,0.11,0.79,0.3,0.2,0.0,0.24,0.58,0.17,0.0,0.05,0.82,0.34
6-1-4,0.11,0.5,0.45,0.23,0.0,0.31,0.72,0.07,0.05,0.1,0.24,0.24
6-1-5,0.11,0.33,0.56,0.0,0.07,0.21,0.14,0.1,0.0,0.0,0.87,0.49
6-2-1,0.2,0.41,0.22,0.15,0.14,0.14,0.29,0.07,0.0,0.05,0.19,0.63
6-2-3,0.03,0.75,0.15,0.0,0.0,0.17,0.34,0.07,0.05,0.0,0.29,0.29
6-2-4,0.0,0.37,0.37,0.15,0.0,0.35,0.48,0.07,0.0,0.1,0.19,0.29
6-2-5,0.08,0.21,0.11,0.09,0.0,0.14,0.05,0.03,0.05,0.0,0.72,0.49
6-3-1,0.14,0.71,0.19,0.06,0.0,0.1,0.43,0.17,0.0,0.0,0.43,0.05
6-3-2,0.14,0.33,0.11,0.0,0.0,0.17,0.24,0.0,0.0,0.0,0.39,0.0
6-3-4,0.06,0.25,0.41,0.0,0.07,0.1,0.24,0.24,0.0,0.0,0.29,0.15
6-3-5,0.06,0.21,0.19,0.0,0.0,0.1,0.0,0.03,0.0,0.0,0.39,0.1
6-4-1,0.03,0.37,0.45,0.15,0.0,0.17,0.38,0.1,0.0,0.0,0.05,0.1
6-4-2,0.06,0.12,0.11,0.09,0.0,0.21,0.48,0.03,0.0,0.05,0.14,0.34
6-4-3,0.08,0.41,0.15,0.12,0.0,0.24,0.34,0.07,0.0,0.0,0.05,0.05
6-4-5,0.0,0.12,0.33,0.06,0.0,0.03,0.1,0.03,0.0,0.0,0.24,0.34
6-5-1,0.08,0.17,0.41,0.09,0.0,0.07,0.0,0.1,0.05,0.0,0.34,0.29
6-5-2,0.06,0.08,0.33,0.06,0.0,0.03,0.05,0.1,0.0,0.0,0.39,0.49
6-5-3,0.03,0.17,0.15,0.03,0.0,0.03,0.05,0.03,0.1,0.0,0.34,0.1
6-5-4,0.08,0.08,0.41,0.12,0.0,0.1,0.19,0.07,0.05,0.0,0.14,0.15
