相対勝率_1,相対勝率_2,相対勝率_3,相対勝率_4,相対勝率_5,相対勝率_6,r1,r2,r3,p,r
-0.39999999999999947,0.47000000000000064,1.9500000000000002,0.41000000000000014,0.4800000000000004,-2.9099999999999997,5.0,4.0,3.0,15810.0,1.0
-0.5333333333333341,-1.513333333333334,0.13666666666666583,1.2466666666666661,0.5366666666666662,0.12666666666666604,1.0,5.0,3.0,12440.0,2.0
2.3500000000000014,0.05000000000000071,0.3800000000000008,-0.3999999999999986,-1.5399999999999987,-0.839999999999999,3.0,2.0,6.0,1390.0,3.0
0.15999999999999925,-0.45000000000000107,-0.47000000000000064,1.1599999999999993,-1.580000000000001,1.1799999999999988,6.0,1.0,3.0,5620.0,4.0
-1.5899999999999994,-0.2499999999999991,-0.20999999999999908,2.37,0.5700000000000003,-0.8899999999999997,1.0,4.0,5.0,4780.0,6.0
0.8933333333333335,-0.5666666666666664,1.0933333333333337,-0.9166666666666661,1.5633333333333335,-2.066666666666666,1.0,5.0,3.0,1610.0,7.0
0.7250000000000005,1.1850000000000005,-1.505,0.03500000000000014,-1.275,0.835,2.0,6.0,1.0,3280.0,8.0
1.5366666666666662,-1.203333333333334,0.6066666666666656,-1.623333333333334,0.546666666666666,0.13666666666666583,2.0,1.0,3.0,9360.0,9.0
0.23833333333333329,0.31833333333333247,0.32833333333333314,0.6983333333333333,-0.9816666666666674,-0.6016666666666675,4.0,3.0,2.0,14960.0,10.0
0.8916666666666657,0.3916666666666657,-0.6983333333333341,-0.08833333333333382,-0.44833333333333414,-0.04833333333333378,1.0,3.0,2.0,1670.0,11.0
0.838333333333332,0.2283333333333326,-0.5716666666666672,-0.09166666666666767,-0.07166666666666721,-0.3316666666666679,3.0,1.0,5.0,11170.0,12.0
-0.44499999999999984,-0.2649999999999997,1.2850000000000001,-1.2049999999999996,-0.23499999999999943,0.8650000000000002,3.0,4.0,6.0,4280.0,1.0
-0.5733333333333333,0.2666666666666666,0.28666666666666707,0.5366666666666671,-3.0933333333333333,2.576666666666667,6.0,2.0,1.0,1760.0,2.0
1.9349999999999996,0.5250000000000004,-0.07500000000000018,-1.6949999999999998,-0.585,-0.10500000000000043,1.0,2.0,5.0,1160.0,3.0
-0.4850000000000003,0.45500000000000007,0.5549999999999997,0.4450000000000003,-1.565,0.5949999999999998,1.0,4.0,6.0,1820.0,4.0
