3連単,型00_3号艇ド弱_壁抜け型,型01_イン凹み_中枠強襲型,型02_5号艇エース_展開型,型03_4号艇ド弱_壁抜け型,型04_1号艇一強_王道型,型05_2号艇ド弱_壁抜け型,型06_6号艇エース_展開型,型07_4カド一撃型,型08_5号艇エース_展開型,型09_1強_6号艇ド弱型,型10_5号艇エース_展開型,型11_6号艇エース_展開型
4-2-1,1.81,0.61,0.5,0.4,0.37,0.24,0.91,1.03,0.57,1.39,0.07,0.52
4-2-3,0.44,0.89,0.18,0.16,0.19,0.16,0.81,0.45,0.47,0.69,0.07,0.41
4-2-5,1.05,0.61,0.71,0.12,0.22,0.16,0.1,0.4,0.83,0.91,0.0,0.33
4-2-6,0.98,0.32,0.43,0.16,0.12,0.12,0.86,0.72,0.16,0.16,0.15,0.67
4-3-1,0.25,0.76,0.46,0.24,0.34,0.44,0.43,0.67,0.88,0.37,0.0,0.26
4-3-2,0.29,0.67,0.18,0.28,0.12,0.24,0.62,0.27,0.83,0.16,0.07,0.22
4-3-5,0.11,0.67,0.46,0.12,0.31,0.4,0.19,0.45,0.78,0.16,0.0,0.41
4-3-6,0.22,0.48,0.25,0.24,0.31,0.36,0.81,0.76,0.26,0.11,0.07,0.37
4-5-1,0.65,0.67,0.96,0.32,0.34,0.24,0.1,1.08,1.5,0.48,0.07,0.33
4-5-2,0.54,0.64,0.82,0.08,0.16,0.32,0.0,0.9,0.36,0.53,0.0,0.15
4-5-3,0.22,0.8,0.32,0.2,0.47,0.24,0.14,0.45,0.83,0.21,0.07,0.19
4-5-6,0.44,0.67,0.78,0.12,0.25,0.64,0.14,1.66,0.21,0.21,0.3,0.45
4-6-1,0.47,0.32,0.18,0.08,0.31,0.16,0.81,1.35,0.0,0.16,0.07,0.52
4-6-2,0.33,0.22,0.29,0.08,0.19,0.08,0.76,0.72,0.1,0.0,0.07,0.56
4-6-3,0.07,0.41,0.25,0.04,0.22,0.16,0.86,0.81,0.16,0.16,0.0,0.3
4-6-5,0.18,0.32,0.25,0.04,0.25,0.44,0.19,1.21,0.05,0.0,0.22,0.26
5-1-2,0.29,0.48,1.25,0.48,0.44,0.24,0.05,0.18,1.14,0.32,1.63,0.52
5-1-3,0.04,0.32,1.03,0.4,0.31,0.8,0.05,0.18,1.45,0.27,0.96,0.22
5-1-4,0.29,0.41,1.21,0.2,0.41,0.36,0.14,0.85,1.19,0.21,0.37,0.19
5-1-6,0.18,0.16,0.89,0.16,0.47,0.68,0.1,0.58,0.26,0.05,1.41,0.67
5-2-1,0.22,0.25,0.71,0.12,0.12,0.08,0.0,0.13,0.57,0.16,0.96,0.41
5-2-3,0.18,0.32,0.29,0.16,0.0,0.16,0.1,0.09,0.62,0.27,0.37,0.07
5-2-4,0.18,0.19,0.57,0.12,0.03,0.04,0.1,0.22,0.36,0.21,0.07,0.04
5-2-6,0.15,0.22,0.71,0.12,0.19,0.12,0.05,0.13,0.1,0.0,1.41,0.11
5-3-1,0.04,0.32,0.57,0.44,0.09,0.4,0.0,0.13,0.78,0.16,1.11,0.15
5-3-2,0.07,0.03,0.25,0.24,0.06,0.2,0.0,0.0,0.73,0.05,0.67,0.11
5-3-4,0.11,0.19,0.21,0.04,0.09,0.28,0.0,0.09,0.41,0.16,0.0,0.07
5-3-6,0.04,0.22,0.29,0.04,0.09,0.68,0.05,0.22,0.1,0.0,1.55,0.19
5-4-1,0.44,0.35,0.82,0.2,0.12,0.2,0.0,0.4,0.78,0.27,0.0,0.19
5-4-2,0.07,0.13,0.54,0.16,0.12,0.12,0.05,0.18,0.52,0.37,0.07,0.19
5-4-3,0.04,0.29,0.39,0.0,0.25,0.4,0.0,0.22,0.36,0.11,0.0,0.04
5-4-6,0.15,0.19,0.57,0.08,0.19,0.36,0.05,0.4,0.21,0.11,0.15,0.37
5-6-1,0.04,0.13,0.64,0.12,0.09,0.48,0.0,0.31,0.26,0.0,1.41,0.45
5-6-2,0.07,0.1,0.32,0.04,0.03,0.2,0.0,0.22,0.16,0.05,0.59,0.07
5-6-3,0.0,0.03,0.18,0.04,0.12,0.32,0.0,0.09,0.05,0.0,0.59,0.37
5-6-4,0.04,0.03,0.54,0.0,0.09,0.32,0.05,0.36,0.0,0.05,0.37,0.26
6-1-2,0.18,0.06,0.21,0.16,0.31,0.6,0.96,0.72,0.05,0.05,0.3,0.85
6-1-3,0.15,0.16,0.18,0.12,0.25,0.8,0.96,0.54,0.05,0.0,0.81,0.48
6-1-4,0.4,0.1,0.11,0.08,0.09,0.44,0.72,0.63,0.0,0.05,0.07,0.71
6-1-5,0.0,0.13,0.18,0.08,0.16,0.32,0.14,0.54,0.0,0.05,0.81,0.41
6-2-1,0.29,0.13,0.11,0.2,0.16,0.32,0.67,0.36,0.05,0.0,0.3,0.89
6-2-3,0.11,0.1,0.18,0.2,0.06,0.16,0.57,0.04,0.0,0.0,0.3,0.56
6-2-4,0.22,0.1,0.0,0.04,0.03,0.24,0.57,0.31,0.05,0.0,0.15,0.48
6-2-5,0.07,0.1,0.18,0.0,0.0,0.12,0.24,0.04,0.05,0.0,0.44,0.45
6-3-1,0.04,0.06,0.14,0.08,0.03,0.64,0.38,0.13,0.05,0.0,0.59,0.33
6-3-2,0.0,0.13,0.07,0.04,0.03,0.44,0.38,0.18,0.0,0.0,0.22,0.33
6-3-4,0.0,0.19,0.11,0.0,0.03,0.24,0.53,0.22,0.0,0.0,0.0,0.19
6-3-5,0.0,0.1,0.07,0.0,0.03,0.44,0.14,0.13,0.05,0.0,0.59,0.26
6-4-1,0.04,0.13,0.04,0.04,0.19,0.2,0.38,0.54,0.0,0.16,0.07,0.33
6-4-2,0.07,0.1,0.14,0.0,0.09,0.08,0.57,0.54,0.0,0.0,0.15,0.26
6-4-3,0.07,0.19,0.11,0.0,0.09,0.24,0.53,0.18,0.0,0.0,0.0,0.26
6-4-5,0.0,0.1,0.04,0.0,0.25,0.12,0.24,0.49,0.0,0.0,0.0,0.33
6-5-1,0.0,0.03,0.07,0.0,0.12,0.48,0.05,0.45,0.0,0.0,0.67,0.19
6-5-2,0.0,0.03,0.25,0.04,0.06,0.12,0.0,0.09,0.0,0.0,0.89,0.22
6-5-3,0.04,0.06,0.07,0.04,0.03,0.32,0.19,0.04,0.0,0.0,0.59,0.37
6-5-4,0.04,0.1,0.25,0.04,0.03,0.04,0.05,0.22,0.1,0.0,0.15,0.37
