date,jcd,r,相対勝率_1,相対勝率_2,相対勝率_3,相対勝率_4,相対勝率_5,相対勝率_6
20260613,13,7,0.252,-0.528,-0.518,0.052,0.302,0.442
20260613,13,8,-0.073,0.227,0.637,-0.313,-0.353,-0.123
20260613,13,9,0.562,-0.848,0.002,0.152,-0.028,0.162
20260613,13,10,0.457,0.407,-0.193,0.047,-0.453,-0.263
20260613,13,11,0.402,-0.098,0.412,-0.468,-0.258,0.012
20260613,13,12,-0.312,0.328,0.028,-0.972,0.098,0.828
20260613,14,1,2.135,-1.825,1.505,-0.435,-2.195,0.815
20260613,14,2,0.208,-0.622,2.818,-0.172,-2.832,0.598
20260613,14,3,1.393,0.373,-0.337,1.423,-2.807,-0.047
20260613,14,4,1.967,-0.023,0.147,2.337,-0.813,-3.613
20260613,14,5,1.37,0.82,-0.06,1.31,-0.16,-3.28
20260613,14,6,0.777,0.427,1.417,0.137,0.347,-3.103
20260613,14,7,0.537,-1.013,-1.563,0.377,2.097,-0.433
20260613,14,8,-0.553,0.567,0.057,-2.233,2.257,-0.093
20260613,14,9,-0.29,1.35,1.87,0.37,-3.39,0.09
20260613,14,10,-0.498,-0.598,1.192,-0.798,0.382,0.322
20260613,14,11,1.213,0.223,-0.207,0.583,-1.047,-0.767
20260613,14,12,0.87,-0.38,-0.33,-0.29,-0.09,0.22
20260613,16,1,0.363,-0.217,0.343,-0.747,0.593,-0.337
20260613,16,2,-0.572,-0.182,0.968,1.228,-1.522,0.078
20260613,16,3,1.322,0.802,0.512,0.352,-3.498,0.512
20260613,16,4,0.588,0.388,-0.512,0.978,-0.452,-0.992
20260613,16,5,-0.622,0.168,-1.022,0.438,-0.032,1.068
20260613,16,6,0.432,0.932,-0.608,1.072,-1.788,-0.038
20260613,16,7,0.18,0.87,0.86,0.06,1.62,-3.59
20260613,16,8,-0.993,1.957,-0.543,-0.063,0.317,-0.673
20260613,16,9,0.408,0.918,0.038,0.208,-2.742,1.168
20260613,16,10,1.072,2.142,0.512,0.342,-0.638,-3.428
20260613,16,11,0.137,0.217,0.377,-1.283,0.337,0.217
20260613,16,12,1.728,0.298,-0.192,-0.262,-1.172,-0.402
20260613,19,1,0.918,0.258,0.348,-3.012,1.148,0.338
20260613,19,2,-0.312,1.258,-0.482,1.068,1.108,-2.642
20260613,19,3,-1.765,-0.255,0.455,0.315,0.805,0.445
20260613,19,4,-1.223,1.377,0.707,-1.463,0.187,0.417
20260613,19,5,1.335,-1.315,0.535,-1.055,-0.045,0.545
20260613,19,6,-0.818,-0.218,1.822,-0.508,0.362,-0.638
20260613,19,7,1.622,0.522,-1.148,-3.218,0.612,1.612
20260613,19,8,0.595,1.535,-0.805,1.565,-0.155,-2.735
20260613,19,9,0.77,0.35,0.84,0.07,-1.11,-0.92
20260613,19,10,0.832,0.482,-1.628,-0.318,-0.018,0.652
20260613,19,11,-0.233,0.697,-0.013,-0.973,-0.113,0.637
20260613,19,12,1.135,-0.635,-0.385,0.705,-0.415,-0.405
20260613,20,1,-0.025,-1.265,0.025,0.575,-0.555,1.245
20260613,20,2,-1.342,0.398,0.328,0.218,-0.102,0.498
20260613,20,3,0.622,1.942,0.252,-2.958,0.632,-0.488
20260613,20,4,-0.333,0.087,-1.893,-0.523,1.647,1.017
20260613,20,5,0.853,0.263,-0.407,0.803,-0.657,-0.857
20260613,20,6,0.492,-0.138,-0.678,0.902,1.222,-1.798
20260613,20,7,1.173,-0.307,-0.797,1.403,-2.427,0.953
20260613,20,8,-0.04,1.45,0.15,-1.07,-0.95,0.46
20260613,20,9,1.075,-1.105,0.935,-1.245,0.225,0.115
20260613,20,10,0.788,-0.252,1.288,-0.782,-1.132,0.088
20260613,20,11,1.025,-0.335,-0.515,0.865,0.225,-1.265
20260613,20,12,0.39,0.23,0.2,-0.26,-0.25,-0.31
20260613,22,1,3.18,0.84,-1.22,-0.37,0.22,-2.65
20260613,22,2,0.36,-0.63,0.94,1.03,1.19,-2.89
20260613,22,3,-1.08,0.62,2.54,-0.86,0.19,-1.41
20260613,22,4,-0.433,-0.233,-2.543,0.887,0.627,1.697
20260613,22,5,-0.698,0.312,0.742,1.282,-0.198,-1.438
20260613,22,6,-0.475,1.135,0.985,-0.575,-1.595,0.525
20260613,22,7,1.022,-1.278,0.662,-2.138,1.172,0.562
20260613,22,8,0.7,1.58,0.52,-1.46,-3.53,2.19
20260613,22,9,0.517,0.917,-0.333,-0.483,-2.233,1.617
20260613,22,10,0.407,0.697,-0.983,0.297,0.537,-0.953
20260613,22,11,0.753,1.573,-0.367,0.483,0.753,-3.197
20260613,22,12,0.667,-0.433,0.277,0.087,-0.623,0.027
20260613,23,1,2.097,0.117,1.487,-1.393,0.677,-2.983
20260613,23,2,1.517,2.487,0.617,1.097,-3.033,-2.683
20260613,23,3,0.915,-0.155,1.715,-0.035,0.015,-2.455
20260613,23,4,0.383,0.973,-2.137,-0.377,0.383,0.773
20260613,23,5,-1.175,-0.095,-1.295,0.085,0.615,1.865
20260613,23,6,0.353,-0.767,-0.257,-0.497,0.103,1.063
20260613,23,7,-0.648,-0.948,-0.998,0.512,1.032,1.052
20260613,23,8,1.383,2.713,-0.567,0.323,-3.597,-0.257
20260613,23,9,0.983,0.503,-0.267,0.283,0.873,-2.377
20260613,23,10,0.902,0.552,0.262,-1.238,0.242,-0.718
20260613,23,11,1.643,-0.157,0.083,0.033,-1.527,-0.077
20260613,23,12,1.048,0.188,-0.112,0.528,-0.282,-1.372
