3連単,型00_3号艇ド弱_壁抜け型,型01_5号艇エース_展開型,型02_4カド一撃型,型03_4カド一撃型,型04_6号艇エース_展開型,型05_6号艇エース_展開型,型06_2号艇軸_標準型,型07_イン凹み_中枠強襲型,型08_6号艇ド弱_壁抜け型,型09_4号艇ド弱_壁抜け型,型10_2号艇ド弱_壁抜け型,型11_5号艇ド弱_壁抜け型
3-5-6,0.11,0.77,0.06,0.06,0.68,0.11,0.17,0.46,0.13,0.41,0.39,0.0
3-6-1,0.26,0.37,0.09,0.06,0.56,1.01,0.07,0.26,0.0,0.7,0.77,0.05
3-6-2,0.04,0.15,0.09,0.0,0.72,1.01,0.07,0.23,0.06,0.47,0.29,0.09
3-6-4,0.15,0.22,0.12,0.0,0.64,0.64,0.0,0.23,0.0,0.29,0.61,0.18
3-6-5,0.07,0.44,0.03,0.06,0.64,0.32,0.1,0.13,0.0,0.88,0.32,0.0
4-1-2,1.74,0.44,1.42,2.21,0.52,0.69,0.72,0.83,0.94,0.18,0.64,1.35
4-1-3,0.7,0.4,1.15,1.04,0.24,0.9,0.27,0.66,0.25,0.12,0.84,1.53
4-1-5,1.04,0.51,2.32,4.72,0.36,0.32,0.41,0.76,0.88,0.12,0.9,1.04
4-1-6,1.63,0.37,1.6,0.37,0.64,1.43,0.31,0.56,0.06,0.06,1.09,0.77
4-2-1,1.22,0.11,0.75,1.53,0.36,0.85,0.65,0.83,0.75,0.0,0.35,0.72
4-2-3,0.48,0.07,0.42,0.31,0.48,0.69,0.03,1.12,0.44,0.06,0.29,0.41
4-2-5,0.78,0.29,0.72,1.1,0.68,0.37,0.55,0.89,1.07,0.0,0.26,0.32
4-2-6,0.78,0.11,0.33,0.37,0.4,0.96,0.31,0.5,0.06,0.29,0.29,0.27
4-3-1,0.26,0.22,0.54,0.8,0.36,0.64,0.07,0.43,0.44,0.06,0.51,0.99
4-3-2,0.3,0.18,0.24,0.31,0.2,0.32,0.24,0.59,0.63,0.12,0.23,0.95
