3連単,型00_イン凹み_中枠強襲型,型01_4カド一撃型,型02_3号艇軸_標準型,型03_2号艇軸_標準型,型04_5号艇エース_展開型,型05_4カド一撃型,型06_6号艇エース_展開型,型07_6号艇ド弱_壁抜け型,型08_5号艇エース_展開型,型09_5号艇エース_展開型,型10_6号艇エース_展開型,型11_イン凹み_中枠強襲型
4-5-2,1.23,0.71,0.04,0.3,1.69,1.04,0.18,0.32,0.17,0.35,0.12,0.67
4-5-3,0.25,0.57,0.35,0.15,0.81,0.7,0.18,0.95,0.12,0.35,0.12,0.53
4-5-6,0.76,1.17,0.13,0.19,0.27,0.41,0.25,0.06,0.23,0.73,0.31,1.04
4-6-1,0.34,1.17,0.39,0.11,0.07,0.12,0.39,0.0,0.06,0.32,0.85,0.23
4-6-2,0.64,0.21,0.13,0.08,0.07,0.12,0.32,0.0,0.06,0.16,0.67,0.2
4-6-3,0.21,0.57,0.13,0.11,0.0,0.0,0.32,0.0,0.0,0.03,0.92,0.43
4-6-5,0.81,0.67,0.09,0.08,0.07,0.17,0.18,0.0,0.12,0.22,0.31,0.6
5-1-2,0.76,0.11,0.22,0.19,1.56,0.23,0.39,0.38,1.55,1.05,0.06,0.5
5-1-3,0.34,0.25,0.3,0.19,1.22,0.29,0.32,0.83,0.92,1.08,0.06,0.8
5-1-4,0.51,0.32,0.26,0.3,0.88,0.58,0.14,0.64,0.4,0.89,0.06,0.53
5-1-6,0.72,0.39,0.13,0.34,0.14,0.12,0.5,0.06,0.98,0.98,0.12,0.3
5-2-1,0.76,0.21,0.13,0.15,1.15,0.06,0.0,0.19,0.81,0.29,0.12,0.3
5-2-3,0.42,0.04,0.04,0.08,1.02,0.17,0.18,0.25,0.69,0.13,0.0,0.27
5-2-4,0.42,0.14,0.0,0.04,0.75,0.17,0.07,0.25,0.35,0.06,0.06,0.23
5-2-6,0.42,0.04,0.09,0.08,0.41,0.06,0.07,0.0,0.35,0.16,0.0,0.33
5-3-1,0.3,0.04,0.22,0.11,0.54,0.0,0.11,0.7,0.69,0.48,0.0,0.47
5-3-2,0.34,0.04,0.09,0.15,0.47,0.06,0.04,0.32,0.69,0.19,0.06,0.4
5-3-4,0.21,0.11,0.13,0.11,0.2,0.29,0.21,0.45,0.06,0.35,0.0,0.43
5-3-6,0.04,0.07,0.22,0.11,0.14,0.0,0.14,0.0,0.69,0.25,0.06,0.53
5-4-1,0.25,0.53,0.04,0.19,0.75,0.35,0.14,0.19,0.17,0.7,0.06,0.37
5-4-2,0.72,0.04,0.0,0.0,0.61,0.23,0.07,0.25,0.4,0.38,0.0,0.43
5-4-3,0.21,0.07,0.0,0.11,0.34,0.23,0.11,0.32,0.12,0.29,0.0,0.27
5-4-6,0.51,0.18,0.13,0.11,0.0,0.0,0.11,0.13,0.06,0.44,0.18,0.3
5-6-1,0.3,0.14,0.0,0.11,0.14,0.06,0.36,0.0,0.58,0.16,0.12,0.2
5-6-2,0.17,0.07,0.04,0.04,0.07,0.0,0.25,0.0,0.75,0.19,0.12,0.1
5-6-3,0.04,0.07,0.09,0.0,0.14,0.0,0.11,0.0,0.46,0.25,0.0,0.17
5-6-4,0.04,0.04,0.04,0.11,0.14,0.06,0.07,0.06,0.12,0.35,0.18,0.23
