登録番号,更新日,1コース_進入率,1コース_1着率,1コース_2着率,1コース_3着率,1コース_平均ST,1コース_ST順,2コース_進入率,2コース_1着率,2コース_2着率,2コース_3着率,2コース_平均ST,2コース_ST順,3コース_進入率,3コース_1着率,3コース_2着率,3コース_3着率,3コース_平均ST,3コース_ST順,4コース_進入率,4コース_1着率,4コース_2着率,4コース_3着率,4コース_平均ST,4コース_ST順,5コース_進入率,5コース_1着率,5コース_2着率,5コース_3着率,5コース_平均ST,5コース_ST順,6コース_進入率,6コース_1着率,6コース_2着率,6コース_3着率,6コース_平均ST,6コース_ST順
3415,2026-06-13,20.5,64.0,12.0,8.0,0.13,2.5,22.1,22.2,18.5,29.6,0.14,3.4,20.5,4.0,20.0,28.0,0.13,3.2,18.0,9.1,13.6,45.5,0.14,4.0,14.8,5.6,11.1,0.0,0.14,3.0,4.1,20.0,40.0,0.0,0.19,3.8
3434,2026-06-13,17.0,38.9,11.1,16.7,0.18,4.0,18.9,30.0,20.0,0.0,0.18,3.7,14.2,6.7,20.0,26.7,0.16,3.5,17.0,5.6,16.7,16.7,0.16,3.2,17.9,10.5,21.1,10.5,0.15,3.3,15.1,12.5,0.0,0.0,0.21,4.4
3436,2026-06-13,18.1,63.2,15.8,5.3,0.09,1.7,18.1,21.1,26.3,10.5,0.12,1.8,20.0,9.5,28.6,9.5,0.1,2.1,13.3,14.3,21.4,14.3,0.12,2.5,19.0,10.0,10.0,25.0,0.11,1.9,11.4,8.3,16.7,0.0,0.17,2.7
3441,2026-06-13,15.5,20.0,20.0,20.0,0.2,3.7,17.5,29.4,41.2,0.0,0.19,4.1,21.6,9.5,19.0,28.6,0.18,3.7,19.6,5.3,36.8,0.0,0.22,4.6,19.6,10.5,26.3,0.0,0.22,4.4,6.2,33.3,0.0,0.0,0.22,4.5
3442,2026-06-13,13.4,35.3,23.5,23.5,0.13,3.0,17.3,31.8,18.2,0.0,0.16,2.9,17.3,4.5,31.8,13.6,0.14,3.1,18.9,20.8,20.8,0.0,0.16,3.4,16.5,9.5,14.3,0.0,0.17,3.0,16.5,9.5,23.8,0.0,0.17,4.1
3444,2026-06-13,13.0,20.0,10.0,0.0,0.2,3.1,16.9,7.7,0.0,0.0,0.21,4.2,16.9,23.1,7.7,7.7,0.17,3.2,19.5,6.7,13.3,20.0,0.16,2.3,16.9,7.7,7.7,15.4,0.17,3.8,16.9,15.4,0.0,0.0,0.19,3.6
3445,2026-06-13,15.7,28.6,50.0,14.3,0.15,3.2,15.7,14.3,28.6,21.4,0.18,3.9,13.5,25.0,25.0,0.0,0.19,4.0,18.0,12.5,12.5,25.0,0.17,4.1,21.3,10.5,21.1,26.3,0.2,3.9,15.7,7.1,7.1,21.4,0.2,4.6
3454,2026-06-13,15.4,31.2,31.2,12.5,0.16,2.9,15.4,6.2,18.8,31.2,0.15,2.8,19.2,5.0,15.0,40.0,0.13,2.1,16.3,29.4,17.6,0.0,0.12,2.9,18.3,10.5,10.5,21.1,0.12,3.1,15.4,12.5,0.0,0.0,0.22,4.6
3455,2026-06-13,15.7,35.7,28.6,14.3,0.18,2.7,16.9,20.0,6.7,13.3,0.15,3.5,18.0,6.2,18.8,25.0,0.18,3.9,16.9,6.7,26.7,13.3,0.15,3.2,16.9,6.7,20.0,0.0,0.21,4.0,15.7,7.1,21.4,0.0,0.23,4.9
3458,2026-06-13,12.3,23.1,23.1,7.7,0.14,3.1,18.9,5.0,10.0,10.0,0.15,3.0,18.9,5.0,20.0,10.0,0.15,3.0,17.9,5.3,10.5,10.5,0.17,3.1,17.9,15.8,21.1,0.0,0.16,3.6,14.2,0.0,0.0,0.0,0.18,3.9
3459,2026-06-13,14.7,14.3,35.7,0.0,0.18,3.2,15.8,13.3,6.7,0.0,0.19,3.7,18.9,16.7,11.1,0.0,0.17,3.1,16.8,25.0,6.2,6.2,0.15,2.4,14.7,7.1,0.0,0.0,0.16,3.0,18.9,11.1,0.0,0.0,0.19,4.1
3461,2026-06-13,10.8,42.9,14.3,0.0,0.2,3.2,16.9,9.1,18.2,27.3,0.2,4.7,16.9,0.0,0.0,0.0,0.26,4.9,18.5,8.3,8.3,0.0,0.28,5.2,10.8,14.3,0.0,0.0,0.18,3.6,26.2,5.9,0.0,0.0,0.24,5.3
3463,2026-06-13,17.2,6.7,46.7,0.0,0.2,4.6,14.9,15.4,30.8,0.0,0.18,4.5,16.1,7.1,14.3,21.4,0.18,3.9,23.0,25.0,20.0,0.0,0.18,3.6,18.4,12.5,18.8,0.0,0.21,4.8,10.3,11.1,22.2,0.0,0.26,5.6
3467,2026-06-13,15.1,30.8,23.1,15.4,0.19,5.1,18.6,6.2,6.2,12.5,0.18,3.8,18.6,6.2,18.8,0.0,0.16,2.8,11.6,20.0,0.0,0.0,0.17,4.0,22.1,10.5,0.0,0.0,0.16,3.2,14.0,16.7,0.0,0.0,0.17,3.9
3470,2026-06-13,16.7,40.0,13.3,6.7,0.19,3.8,17.8,6.2,43.8,25.0,0.17,2.8,22.2,40.0,5.0,5.0,0.16,2.8,17.8,12.5,25.0,0.0,0.18,3.8,13.3,8.3,16.7,16.7,0.15,3.4,12.2,9.1,9.1,0.0,0.16,2.8
3471,2026-06-13,13.5,30.8,7.7,15.4,0.16,3.7,19.8,5.3,15.8,15.8,0.19,4.4,16.7,12.5,25.0,0.0,0.18,4.1,16.7,25.0,6.2,0.0,0.17,3.0,20.8,10.0,15.0,0.0,0.15,3.7,12.5,0.0,0.0,0.0,0.17,4.1
3474,2026-06-13,17.8,21.1,36.8,10.5,0.18,3.1,17.8,10.5,42.1,10.5,0.16,3.8,17.8,36.8,15.8,0.0,0.16,2.3,17.8,5.3,15.8,31.6,0.16,3.4,16.8,11.1,27.8,0.0,0.18,3.9,12.1,15.4,15.4,0.0,0.19,3.6
3475,2026-06-13,18.3,40.0,25.0,10.0,0.2,4.4,16.5,5.6,33.3,5.6,0.19,3.9,21.1,8.7,21.7,26.1,0.18,4.1,18.3,15.0,25.0,0.0,0.18,3.8,15.6,5.9,17.6,23.5,0.18,3.6,10.1,18.2,0.0,0.0,0.25,4.7
3478,2026-06-13,16.0,57.9,26.3,5.3,0.14,2.6,18.5,9.1,18.2,31.8,0.17,3.6,18.5,31.8,27.3,0.0,0.16,2.9,15.1,5.6,22.2,0.0,0.17,3.2,16.0,5.3,5.3,15.8,0.18,4.1,16.0,5.3,10.5,0.0,0.23,4.8
3482,2026-06-13,15.8,45.5,31.8,13.6,0.16,3.0,17.3,16.7,25.0,25.0,0.16,3.5,16.5,8.7,30.4,17.4,0.14,2.6,18.0,4.0,16.0,32.0,0.17,3.1,15.1,14.3,19.0,14.3,0.14,3.0,17.3,4.2,16.7,29.2,0.18,3.8
3489,2026-06-13,20.4,53.3,23.3,3.3,0.17,3.3,16.3,12.5,16.7,25.0,0.17,3.2,18.4,11.1,37.0,25.9,0.15,2.6,17.0,4.0,16.0,28.0,0.16,3.1,18.4,11.1,48.1,0.0,0.15,3.9,9.5,7.1,14.3,7.1,0.18,4.3
3499,2026-06-13,21.5,77.4,6.5,6.5,0.11,2.1,15.3,22.7,27.3,36.4,0.13,2.4,20.1,17.2,24.1,13.8,0.13,2.3,18.1,7.7,11.5,19.2,0.12,2.7,16.7,12.5,25.0,0.0,0.14,2.3,8.3,16.7,16.7,0.0,0.2,3.8
3502,2026-06-13,19.8,37.5,37.5,8.3,0.18,3.5,14.9,11.1,27.8,44.4,0.19,3.7,19.8,12.5,8.3,37.5,0.17,3.3,19.8,8.3,20.8,16.7,0.16,3.5,22.3,18.5,14.8,0.0,0.18,3.7,3.3,0.0,0.0,0.0,0.21,4.8
