3連単,型00_1強_6号艇ド弱型,型01_1号艇一強_王道型,型02_3号艇軸_標準型,型03_5号艇エース_展開型,型04_イン凹み_中枠強襲型,型05_6号艇エース_展開型,型06_イン凹み_中枠強襲型,型07_5号艇エース_展開型,型08_1号艇一強_王道型,型09_イン凹み_中枠強襲型,型10_1号艇一強_王道型,型11_4カド一撃型
3-6-4,0.0,0.41,0.23,0.08,0.3,0.82,0.35,0.0,0.06,0.72,0.08,0.17
3-6-5,0.0,0.07,0.26,0.89,0.15,0.69,0.26,0.07,0.17,0.14,0.03,0.04
4-1-2,0.99,1.36,0.83,0.24,0.63,0.53,0.66,0.83,0.11,0.8,0.45,2.3
4-1-3,0.33,1.16,0.86,0.0,0.07,0.73,1.72,0.83,0.28,1.16,0.31,1.3
4-1-5,0.77,0.27,0.9,0.08,0.41,0.49,0.97,1.24,0.22,0.29,0.51,2.3
4-1-6,0.11,0.89,0.6,0.08,0.33,1.31,0.35,0.34,0.28,0.94,0.51,2.0
4-2-1,0.72,0.48,0.83,0.08,0.41,0.33,0.31,0.97,0.11,0.8,0.42,1.13
4-2-3,0.28,0.41,0.79,0.24,0.44,0.53,0.35,0.48,0.11,0.94,0.06,0.96
4-2-5,0.22,0.07,0.49,0.08,0.89,0.16,0.44,1.72,0.17,0.14,0.17,1.22
4-2-6,0.0,0.34,0.26,0.0,0.59,0.61,0.09,0.14,0.11,1.45,0.14,0.65
4-3-1,0.28,0.27,0.53,0.0,0.11,0.65,0.97,1.17,0.06,1.3,0.42,0.61
4-3-2,0.22,0.34,0.68,0.0,0.3,0.41,0.4,0.48,0.0,0.51,0.08,0.35
4-3-5,0.33,0.07,0.45,0.08,0.07,0.73,1.06,0.97,0.0,0.07,0.31,0.65
4-3-6,0.06,0.41,0.3,0.16,0.07,0.82,0.53,0.07,0.0,1.09,0.17,0.39
4-5-1,0.33,0.14,0.3,0.0,0.41,0.41,0.75,1.1,0.22,0.0,0.54,1.13
4-5-2,0.28,0.14,0.41,0.24,0.59,0.24,0.31,0.9,0.22,0.22,0.14,1.0
4-5-3,0.33,0.0,0.49,0.24,0.3,0.41,0.75,0.62,0.06,0.0,0.08,0.69
4-5-6,0.11,0.07,0.15,0.16,0.52,0.57,0.62,0.28,0.06,0.0,0.34,1.04
4-6-1,0.06,0.48,0.23,0.0,0.3,0.65,0.09,0.07,0.11,1.16,0.2,0.74
4-6-2,0.0,0.41,0.19,0.16,0.26,0.12,0.0,0.0,0.11,0.94,0.06,0.74
4-6-3,0.0,0.2,0.08,0.0,0.0,0.78,0.26,0.07,0.06,1.09,0.03,0.22
4-6-5,0.0,0.07,0.04,0.0,0.33,0.65,0.26,0.07,0.0,0.43,0.17,0.3
5-1-2,0.66,0.07,0.34,1.29,0.74,0.2,0.53,1.66,0.39,0.07,0.31,0.35
5-1-3,0.22,0.0,0.3,1.13,0.37,0.33,1.1,1.24,0.17,0.0,0.34,0.35
5-1-4,0.44,0.14,0.19,0.16,0.59,0.24,0.66,0.76,0.28,0.07,0.34,0.61
5-1-6,0.11,0.07,0.19,1.86,0.33,0.33,0.88,0.21,0.28,0.0,0.17,0.39
5-2-1,0.28,0.0,0.19,1.13,0.78,0.2,0.57,0.83,0.67,0.07,0.14,0.17
5-2-3,0.06,0.2,0.15,0.65,0.55,0.08,0.31,0.14,0.22,0.22,0.06,0.17
5-2-4,0.11,0.07,0.19,0.16,0.59,0.12,0.13,0.69,0.06,0.0,0.11,0.35
5-2-6,0.0,0.07,0.08,1.54,0.7,0.12,0.31,0.07,0.22,0.07,0.23,0.17
5-3-1,0.22,0.0,0.11,0.32,0.22,0.16,0.66,0.62,0.22,0.0,0.08,0.09
5-3-2,0.11,0.07,0.04,0.81,0.22,0.04,0.66,0.83,0.06,0.0,0.08,0.04
5-3-4,0.06,0.0,0.19,0.24,0.18,0.08,0.71,0.62,0.11,0.0,0.08,0.22
5-3-6,0.0,0.0,0.04,1.62,0.37,0.12,0.53,0.07,0.11,0.07,0.03,0.04
5-4-1,0.28,0.0,0.08,0.24,0.41,0.16,0.62,0.48,0.17,0.0,0.25,0.61
5-4-2,0.17,0.0,0.08,0.16,0.22,0.12,0.18,0.48,0.06,0.14,0.2,0.35
5-4-3,0.11,0.0,0.19,0.0,0.04,0.24,0.49,0.55,0.06,0.0,0.08,0.13
5-4-6,0.0,0.0,0.15,0.08,0.67,0.24,0.49,0.07,0.06,0.07,0.23,0.39
5-6-1,0.0,0.07,0.04,1.05,0.3,0.37,0.22,0.07,0.06,0.0,0.08,0.22
5-6-2,0.0,0.0,0.04,1.37,0.52,0.16,0.18,0.0,0.11,0.0,0.06,0.09
5-6-3,0.0,0.0,0.08,0.81,0.15,0.16,0.09,0.07,0.06,0.0,0.11,0.17
5-6-4,0.06,0.07,0.0,0.16,0.22,0.16,0.22,0.0,0.0,0.0,0.03,0.39
6-1-2,0.06,0.14,0.08,0.97,0.59,0.61,0.26,0.0,0.39,1.01,0.2,0.43
6-1-3,0.06,0.2,0.11,0.97,0.22,0.82,0.22,0.07,0.17,1.3,0.06,0.09
6-1-4,0.0,0.41,0.11,0.16,0.11,0.73,0.04,0.0,0.06,0.72,0.17,0.3
6-1-5,0.0,0.07,0.04,0.81,0.33,0.49,0.13,0.0,0.0,0.22,0.2,0.26
6-2-1,0.11,0.14,0.11,0.65,0.44,0.45,0.13,0.0,0.39,0.87,0.2,0.09
6-2-3,0.0,0.07,0.19,0.4,0.3,0.16,0.04,0.0,0.22,1.16,0.06,0.0
6-2-4,0.0,0.0,0.04,0.16,0.18,0.29,0.0,0.0,0.11,0.58,0.11,0.17
6-2-5,0.0,0.0,0.04,0.57,0.26,0.2,0.13,0.0,0.06,0.07,0.08,0.13
6-3-1,0.0,0.0,0.0,0.4,0.07,0.49,0.09,0.0,0.11,0.72,0.11,0.04
6-3-2,0.0,0.14,0.19,0.24,0.22,0.45,0.09,0.0,0.11,0.51,0.11,0.09
6-3-4,0.06,0.07,0.11,0.16,0.11,0.37,0.04,0.0,0.06,0.51,0.06,0.04
6-3-5,0.0,0.07,0.08,0.49,0.07,0.33,0.18,0.07,0.0,0.07,0.08,0.09
6-4-1,0.0,0.27,0.11,0.08,0.26,0.24,0.0,0.14,0.0,0.72,0.03,0.22
6-4-2,0.06,0.0,0.04,0.24,0.22,0.16,0.09,0.0,0.0,0.58,0.0,0.13
6-4-3,0.0,0.07,0.08,0.08,0.07,0.29,0.0,0.07,0.06,0.72,0.03,0.13
6-4-5,0.06,0.0,0.0,0.0,0.15,0.45,0.04,0.0,0.06,0.07,0.08,0.17
6-5-1,0.06,0.07,0.04,0.89,0.11,0.33,0.04,0.0,0.11,0.07,0.06,0.17
6-5-2,0.0,0.0,0.0,0.65,0.18,0.12,0.04,0.0,0.11,0.0,0.03,0.04
6-5-3,0.0,0.14,0.08,1.05,0.18,0.24,0.04,0.07,0.06,0.14,0.0,0.09
6-5-4,0.0,0.07,0.0,0.16,0.15,0.2,0.09,0.0,0.06,0.0,0.06,0.17
