3連単,型00_イン凹み_中枠強襲型,型01_イン凹み_中枠強襲型,型02_イン凹み_中枠強襲型,型03_1強_6号艇ド弱型,型04_イン凹み_中枠強襲型,型05_イン凹み_中枠強襲型,型06_1号艇一強_王道型,型07_4号艇ド弱_壁抜け型,型08_2号艇軸_標準型,型09_6号艇エース_展開型,型10_1号艇一強_王道型,型11_5号艇エース_展開型
4-3-1,0.79,0.8,0.49,0.49,1.33,0.25,0.27,0.5,0.21,0.07,0.47,0.14
4-3-2,0.95,0.74,0.67,0.34,0.69,0.25,0.09,0.25,0.13,0.0,0.35,0.18
4-3-5,0.24,1.32,0.31,0.2,0.87,0.17,0.21,0.29,0.04,0.0,0.12,0.45
4-3-6,1.19,0.23,0.71,0.05,0.64,0.72,0.24,0.21,0.0,0.0,0.29,0.14
4-5-1,0.08,0.97,0.13,0.39,0.55,0.68,0.56,0.12,0.38,0.15,0.18,0.59
4-5-2,0.0,0.97,0.45,0.39,0.27,1.02,0.39,0.08,0.25,0.0,0.12,0.23
4-5-3,0.24,1.03,0.31,0.34,0.73,0.3,0.18,0.33,0.17,0.0,0.12,0.41
4-5-6,0.0,0.51,0.18,0.05,0.92,0.81,0.39,0.33,0.08,0.0,0.0,0.41
4-6-1,0.95,0.06,0.09,0.05,0.41,0.59,0.33,0.17,0.13,0.0,0.18,0.41
4-6-2,1.19,0.06,0.18,0.05,0.27,0.72,0.3,0.04,0.17,0.0,0.18,0.41
4-6-3,0.4,0.0,0.22,0.0,0.69,0.68,0.06,0.08,0.04,0.0,0.18,0.09
4-6-5,0.08,0.06,0.18,0.05,0.55,0.93,0.12,0.04,0.04,0.07,0.18,0.32
5-1-2,0.0,1.03,0.22,0.49,0.18,0.42,0.36,0.25,0.51,1.41,0.18,0.81
5-1-3,0.08,0.74,0.13,0.69,0.37,0.3,0.3,0.62,0.21,0.74,0.0,1.45
5-1-4,0.0,0.63,0.31,0.15,0.32,0.34,0.42,0.33,0.25,0.07,0.0,0.81
5-1-6,0.0,0.23,0.13,0.05,0.32,0.38,0.59,0.29,0.21,1.41,0.12,0.72
5-2-1,0.0,0.57,0.27,0.2,0.18,0.3,0.12,0.41,0.51,0.67,0.12,0.63
5-2-3,0.08,0.91,0.31,0.15,0.18,0.38,0.09,0.33,0.17,0.59,0.06,0.59
5-2-4,0.0,0.57,0.22,0.1,0.14,0.17,0.15,0.04,0.17,0.07,0.0,0.5
5-2-6,0.08,0.17,0.22,0.05,0.09,0.42,0.15,0.04,0.08,0.81,0.06,0.5
