3連単,型00_6号艇エース_展開型,型01_6号艇エース_展開型,型02_4カド一撃型,型03_1強_6号艇ド弱型,型04_5号艇エース_展開型,型05_3号艇軸_標準型,型06_4カド一撃型,型07_1強_6号艇ド弱型,型08_1号艇一強_王道型,型09_イン凹み_中枠強襲型,型10_5号艇エース_展開型,型11_6号艇エース_展開型
3-6-1,0.72,0.72,0.1,0.05,0.43,0.16,0.0,0.0,0.1,0.2,0.26,0.44
3-6-2,0.76,0.51,0.1,0.0,0.22,0.08,0.0,0.05,0.24,0.23,0.13,0.3
3-6-4,0.76,0.67,0.24,0.05,0.11,0.39,0.13,0.0,0.18,0.03,0.06,0.1
3-6-5,0.68,0.15,0.2,0.0,0.33,0.24,0.07,0.0,0.08,0.08,0.06,0.2
4-1-2,0.42,0.87,1.91,1.29,0.11,0.51,2.62,0.43,0.52,0.93,0.54,0.59
4-1-3,0.42,0.46,1.02,0.74,0.22,0.87,1.34,0.57,0.39,0.39,0.67,0.3
4-1-5,0.53,0.2,1.7,0.94,0.38,0.87,2.49,0.52,0.44,0.54,0.96,0.3
4-1-6,0.87,0.92,1.64,0.4,0.05,0.59,0.34,0.0,0.6,0.42,0.48,0.64
4-2-1,0.3,0.51,0.85,0.89,0.16,0.31,1.14,0.52,0.31,0.85,0.41,0.39
4-2-3,0.3,0.61,0.31,0.5,0.0,0.39,0.94,0.33,0.13,0.54,0.06,0.3
4-2-5,0.11,0.0,0.55,0.2,0.16,0.35,1.41,0.38,0.21,0.87,0.29,0.25
4-2-6,0.27,0.51,0.51,0.2,0.0,0.31,0.07,0.05,0.24,0.37,0.16,0.3
4-3-1,0.38,0.2,0.75,0.25,0.05,0.94,1.14,0.24,0.13,0.2,0.13,0.15
4-3-2,0.23,0.36,0.34,0.2,0.11,0.43,0.34,0.05,0.13,0.28,0.03,0.1
4-3-5,0.19,0.15,0.34,0.05,0.11,0.43,0.6,0.19,0.18,0.31,0.26,0.0
4-3-6,0.3,0.92,0.58,0.2,0.11,0.24,0.07,0.09,0.08,0.17,0.13,0.1
