3連単,型00_イン凹み_中枠強襲型,型01_3号艇軸_標準型,型02_1号艇軸_標準型,型03_1強_6号艇ド弱型,型04_1号艇一強_王道型,型05_4カド一撃型,型06_2号艇軸_標準型,型07_イン凹み_中枠強襲型,型08_5号艇エース_展開型,型09_4カド一撃型,型10_1号艇一強_王道型,型11_6号艇エース_展開型
5-2-1,0.27,0.16,0.71,0.52,0.0,0.6,0.38,0.11,1.44,0.0,0.18,0.56
5-2-3,0.18,0.04,0.43,0.17,0.0,0.66,0.07,0.59,0.88,0.0,0.14,0.4
5-2-4,0.27,0.04,0.16,0.04,0.06,0.42,0.17,0.18,0.68,0.0,0.12,0.44
5-2-6,0.41,0.04,0.22,0.0,0.06,0.06,0.21,0.3,0.56,0.0,0.18,0.56
5-3-1,0.09,0.39,0.49,0.39,0.06,0.66,0.07,0.33,0.8,0.07,0.21,0.24
5-3-2,0.05,0.08,0.38,0.13,0.06,0.12,0.1,0.26,0.92,0.0,0.05,0.32
5-3-4,0.36,0.23,0.11,0.13,0.11,0.96,0.1,0.41,0.76,0.0,0.09,0.32
5-3-6,0.09,0.43,0.22,0.09,0.0,0.12,0.07,0.22,0.48,0.07,0.12,0.52
5-4-1,0.55,0.27,0.11,0.22,0.0,0.54,0.14,0.11,0.64,0.0,0.28,0.36
5-4-2,0.41,0.08,0.22,0.17,0.0,0.6,0.17,0.26,0.72,0.13,0.16,0.48
5-4-3,0.36,0.16,0.11,0.13,0.0,0.42,0.0,0.11,0.52,0.2,0.14,0.08
5-4-6,0.59,0.16,0.05,0.0,0.06,0.18,0.07,0.18,0.56,0.0,0.23,0.64
5-6-1,0.18,0.2,0.38,0.0,0.11,0.0,0.14,0.37,0.4,0.07,0.25,0.72
5-6-2,0.14,0.0,0.49,0.0,0.0,0.0,0.1,0.15,0.32,0.0,0.0,0.56
5-6-3,0.14,0.08,0.43,0.0,0.0,0.06,0.14,0.15,0.24,0.0,0.05,0.28
