3連単,型00_4カド一撃型,型01_1号艇一強_王道型,型02_4カド一撃型,型03_1号艇一強_王道型,型04_1強_6号艇ド弱型,型05_イン凹み_中枠強襲型,型06_3号艇軸_標準型,型07_5号艇エース_展開型,型08_4カド一撃型,型09_6号艇エース_展開型,型10_6号艇エース_展開型,型11_5号艇エース_展開型
3-6-1,0.05,0.25,0.11,0.15,0.06,0.3,0.44,0.32,0.41,1.3,0.95,0.38
3-6-2,0.09,0.08,0.06,0.12,0.0,0.69,0.27,0.28,0.36,1.0,0.7,0.27
3-6-4,0.09,0.04,0.06,0.06,0.0,0.47,0.44,0.46,0.5,0.9,0.88,0.0
3-6-5,0.09,0.04,0.06,0.27,0.0,0.3,0.17,0.46,0.27,0.95,0.13,0.11
4-1-2,2.52,0.82,1.8,0.88,1.57,0.52,0.62,1.02,1.31,0.35,1.39,0.33
4-1-3,1.1,0.45,1.18,0.61,0.45,0.3,1.4,0.83,1.44,0.15,1.07,0.27
4-1-5,1.46,0.37,1.41,0.97,0.73,0.3,0.68,1.48,1.62,0.45,0.38,0.38
4-1-6,0.55,0.66,0.17,0.82,0.34,0.43,0.75,0.55,2.25,0.7,1.64,0.22
4-2-1,1.74,0.99,1.46,0.64,0.84,0.65,0.34,0.37,0.72,0.3,1.26,0.16
4-2-3,1.42,0.16,1.01,0.24,0.28,0.47,0.38,0.55,0.63,0.1,1.01,0.22
4-2-5,1.28,0.33,0.96,0.39,0.39,0.52,0.21,1.16,0.32,0.25,0.13,0.33
4-2-6,1.28,0.33,0.06,0.36,0.0,0.82,0.21,0.65,1.04,0.35,1.58,0.22
4-3-1,0.82,0.12,1.24,0.3,0.34,0.34,0.89,0.55,0.9,0.1,0.82,0.16
4-3-2,0.69,0.25,0.85,0.24,0.17,0.17,0.82,0.42,0.41,0.15,1.2,0.22
4-3-5,0.64,0.04,0.79,0.3,0.22,0.69,0.89,1.02,0.86,0.6,0.19,0.11
4-3-6,0.55,0.21,0.17,0.24,0.0,0.17,0.79,0.65,1.17,0.35,1.39,0.27
4-5-1,0.91,0.08,1.75,1.03,0.34,0.56,0.55,0.88,1.04,0.2,0.06,0.38
4-5-2,1.42,0.16,1.46,0.39,0.34,0.56,0.34,1.16,0.5,0.1,0.19,0.27
4-5-3,0.23,0.0,0.96,0.42,0.06,0.22,0.58,1.48,0.45,0.2,0.0,0.38
4-5-6,0.59,0.08,0.34,0.51,0.06,0.9,0.38,1.2,0.77,0.45,0.25,0.16
4-6-1,0.37,0.25,0.06,0.24,0.06,0.39,0.38,0.14,1.35,0.4,1.39,0.11
4-6-2,0.09,0.21,0.06,0.12,0.0,0.47,0.21,0.32,0.68,0.05,1.2,0.05
4-6-3,0.41,0.08,0.11,0.15,0.0,0.43,0.17,0.46,0.81,0.45,1.2,0.0
4-6-5,0.27,0.04,0.06,0.21,0.0,0.56,0.14,0.55,1.31,0.4,0.25,0.22
5-1-2,0.32,0.25,0.9,0.82,0.62,0.39,0.27,0.92,0.32,0.3,0.0,1.14
5-1-3,0.27,0.21,1.13,0.67,0.34,0.22,0.55,1.02,0.14,0.7,0.06,1.46
5-1-4,0.41,0.29,0.79,0.91,0.28,0.13,0.38,0.79,0.63,0.45,0.0,0.33
5-1-6,0.27,0.25,0.11,1.24,0.17,0.56,0.21,0.65,0.5,1.05,0.0,0.65
5-2-1,0.23,0.21,0.56,0.45,0.5,0.65,0.07,0.69,0.32,0.25,0.06,0.54
5-2-3,0.14,0.12,0.62,0.3,0.11,0.22,0.24,1.06,0.14,0.25,0.13,1.19
5-2-4,0.18,0.04,0.23,0.21,0.11,0.17,0.14,0.32,0.14,0.1,0.06,0.22
5-2-6,0.14,0.21,0.06,0.39,0.0,0.65,0.07,0.51,0.32,0.45,0.0,0.54
5-3-1,0.14,0.08,0.17,0.42,0.11,0.3,0.38,0.6,0.05,0.25,0.0,0.7
5-3-2,0.18,0.04,0.51,0.15,0.17,0.22,0.24,0.79,0.09,0.3,0.0,0.6
5-3-4,0.18,0.0,0.39,0.06,0.06,0.3,0.1,0.88,0.18,0.25,0.06,0.38
5-3-6,0.0,0.12,0.0,0.18,0.11,0.17,0.14,0.28,0.27,0.65,0.06,0.49
5-4-1,0.46,0.08,0.79,0.42,0.34,0.3,0.27,0.74,0.59,0.1,0.0,0.16
5-4-2,0.37,0.21,0.28,0.39,0.17,0.43,0.07,0.55,0.27,0.15,0.0,0.54
5-4-3,0.14,0.04,0.23,0.24,0.11,0.17,0.21,0.97,0.14,0.05,0.06,0.33
5-4-6,0.18,0.12,0.06,0.45,0.17,0.22,0.21,0.88,0.45,0.25,0.13,0.16
5-6-1,0.14,0.25,0.0,0.27,0.06,0.26,0.14,0.28,0.27,0.55,0.0,0.27
5-6-2,0.05,0.04,0.0,0.24,0.06,0.47,0.03,0.55,0.32,0.25,0.06,0.49
5-6-3,0.09,0.08,0.0,0.09,0.0,0.17,0.0,0.46,0.18,0.7,0.06,0.22
5-6-4,0.0,0.16,0.0,0.21,0.0,0.26,0.07,0.42,0.36,0.45,0.0,0.22
6-1-2,0.27,0.62,0.0,0.15,0.06,0.82,0.07,0.05,0.59,0.85,0.76,0.22
6-1-3,0.05,0.21,0.0,0.09,0.06,0.34,0.17,0.18,0.41,0.85,0.95,0.22
6-1-4,0.09,0.25,0.0,0.18,0.06,0.47,0.14,0.09,1.08,0.5,0.63,0.05
6-1-5,0.14,0.21,0.0,0.09,0.0,0.17,0.03,0.0,0.32,0.45,0.19,0.11
6-2-1,0.05,0.0,0.0,0.12,0.17,0.69,0.07,0.18,0.27,0.4,0.44,0.11
6-2-3,0.14,0.08,0.0,0.0,0.06,0.26,0.07,0.14,0.36,0.5,0.32,0.16
6-2-4,0.05,0.04,0.0,0.15,0.06,0.47,0.14,0.05,0.32,0.2,0.51,0.05
6-2-5,0.0,0.04,0.0,0.03,0.0,0.39,0.03,0.14,0.05,0.1,0.06,0.11
6-3-1,0.05,0.04,0.0,0.09,0.0,0.17,0.03,0.05,0.09,0.45,0.63,0.05
6-3-2,0.09,0.04,0.0,0.03,0.06,0.17,0.1,0.0,0.14,0.9,0.44,0.16
6-3-4,0.0,0.04,0.0,0.03,0.0,0.13,0.21,0.32,0.27,0.35,0.38,0.05
6-3-5,0.0,0.08,0.0,0.0,0.06,0.3,0.03,0.18,0.32,0.55,0.06,0.27
6-4-1,0.27,0.21,0.06,0.09,0.06,0.09,0.1,0.05,0.41,0.2,0.63,0.0
6-4-2,0.05,0.08,0.06,0.0,0.0,0.3,0.14,0.32,0.23,0.05,0.19,0.0
6-4-3,0.18,0.08,0.0,0.03,0.0,0.17,0.1,0.09,0.27,0.35,0.13,0.16
6-4-5,0.09,0.04,0.0,0.09,0.0,0.17,0.0,0.05,0.59,0.1,0.06,0.05
6-5-1,0.0,0.0,0.0,0.15,0.0,0.04,0.0,0.18,0.32,0.45,0.13,0.11
6-5-2,0.05,0.04,0.06,0.12,0.06,0.22,0.07,0.23,0.18,0.55,0.13,0.0
6-5-3,0.0,0.0,0.06,0.03,0.0,0.04,0.07,0.09,0.05,0.35,0.06,0.05
6-5-4,0.14,0.04,0.0,0.06,0.06,0.3,0.07,0.14,0.23,0.15,0.0,0.11
