3連単,型00_1強_6号艇ド弱型,型01_1号艇一強_王道型,型02_6号艇エース_展開型,型03_6号艇ド弱_壁抜け型,型04_4カド一撃型,型05_2号艇ド弱_壁抜け型,型06_4号艇ド弱_壁抜け型,型07_3号艇ド弱_壁抜け型,型08_5号艇エース_展開型,型09_イン凹み_中枠強襲型,型10_1号艇一強_王道型,型11_1強_6号艇ド弱型
6-1-5,0.0,0.19,0.0,0.04,0.13,0.25,0.13,0.34,0.14,0.17,0.12,0.0
6-2-1,0.0,0.22,0.61,0.0,0.1,0.04,0.56,0.67,0.32,0.08,0.12,0.0
6-2-3,0.0,0.16,0.81,0.16,0.0,0.04,0.0,0.63,0.11,0.08,0.12,0.05
6-2-4,0.04,0.03,0.67,0.08,0.1,0.04,0.13,0.46,0.11,0.31,0.24,0.0
6-2-5,0.0,0.13,0.2,0.08,0.03,0.0,0.38,0.46,0.07,0.17,0.0,0.0
6-3-1,0.0,0.32,0.13,0.04,0.13,0.07,0.06,0.38,0.04,0.25,0.24,0.0
6-3-2,0.0,0.06,0.47,0.04,0.0,0.0,0.13,0.21,0.07,0.23,0.0,0.05
6-3-4,0.0,0.03,0.54,0.0,0.03,0.04,0.0,0.04,0.04,0.17,0.06,0.0
6-3-5,0.0,0.1,0.13,0.08,0.03,0.29,0.19,0.04,0.07,0.2,0.0,0.0
6-4-1,0.09,0.13,0.27,0.04,0.3,0.0,0.06,0.17,0.04,0.14,0.36,0.0
6-4-2,0.0,0.1,0.2,0.08,0.1,0.0,0.13,0.29,0.07,0.06,0.24,0.0
6-4-3,0.0,0.03,0.27,0.08,0.13,0.07,0.0,0.17,0.07,0.14,0.24,0.05
6-4-5,0.0,0.06,0.47,0.0,0.13,0.0,0.06,0.13,0.07,0.08,0.06,0.0
6-5-1,0.0,0.29,0.07,0.08,0.03,0.0,0.38,0.08,0.18,0.17,0.06,0.05
6-5-2,0.0,0.06,0.13,0.04,0.0,0.0,0.31,0.25,0.04,0.03,0.0,0.0
6-5-3,0.04,0.03,0.0,0.0,0.0,0.14,0.13,0.0,0.04,0.23,0.0,0.0
6-5-4,0.0,0.16,0.07,0.0,0.1,0.11,0.13,0.13,0.04,0.08,0.06,0.0
