3連単,型00_イン凹み_中枠強襲型,型01_イン凹み_中枠強襲型,型02_6号艇エース_展開型,型03_1号艇一強_王道型,型04_5号艇エース_展開型,型05_1号艇軸_標準型,型06_6号艇エース_展開型,型07_4号艇ド弱_壁抜け型,型08_4カド一撃型,型09_4カド一撃型,型10_4号艇ド弱_壁抜け型,型11_2号艇軸_標準型
5-6-3,0.11,0.16,0.06,0.05,0.34,0.04,0.82,0.28,0.1,0.0,0.15,0.18
5-6-4,0.14,0.32,0.0,0.13,0.41,0.08,0.14,0.14,0.24,0.0,0.08,0.11
6-1-2,0.36,0.0,1.98,0.16,0.26,0.04,1.51,0.14,0.37,0.11,0.46,1.15
6-1-3,0.14,0.0,1.54,0.08,0.34,0.0,1.1,0.0,0.51,0.05,0.77,0.43
6-1-4,0.07,0.32,1.73,0.08,0.23,0.04,0.34,0.09,0.68,0.27,0.54,0.43
6-1-5,0.11,0.12,0.45,0.13,0.68,0.0,0.96,0.23,0.27,0.05,0.23,0.4
6-2-1,0.11,0.16,0.96,0.13,0.19,0.0,0.75,0.19,0.07,0.22,0.39,0.97
6-2-3,0.04,0.08,0.51,0.08,0.19,0.08,0.14,0.09,0.14,0.11,0.54,0.47
6-2-4,0.0,0.16,1.34,0.13,0.19,0.04,0.14,0.0,0.17,0.27,0.12,0.4
6-2-5,0.07,0.04,0.32,0.05,0.45,0.0,0.82,0.0,0.2,0.11,0.12,0.47
6-3-1,0.07,0.08,0.83,0.08,0.26,0.08,0.62,0.14,0.2,0.22,0.81,0.22
6-3-2,0.18,0.16,0.58,0.0,0.15,0.04,0.62,0.09,0.07,0.11,0.58,0.18
6-3-4,0.11,0.04,0.9,0.03,0.08,0.04,0.07,0.0,0.24,0.11,0.54,0.25
6-3-5,0.18,0.0,0.0,0.05,0.15,0.0,0.48,0.0,0.0,0.0,0.43,0.11
6-4-1,0.18,0.08,1.09,0.05,0.23,0.08,0.27,0.0,0.85,0.27,0.46,0.47
6-4-2,0.11,0.16,0.9,0.05,0.08,0.08,0.14,0.0,0.17,0.32,0.12,0.36
6-4-3,0.04,0.12,0.77,0.03,0.04,0.0,0.14,0.0,0.1,0.05,0.39,0.22
6-4-5,0.0,0.12,0.06,0.16,0.15,0.0,0.07,0.05,0.31,0.05,0.15,0.07
6-5-1,0.0,0.04,0.06,0.03,0.23,0.04,1.3,0.09,0.17,0.05,0.27,0.22
6-5-2,0.07,0.08,0.0,0.03,0.19,0.0,0.48,0.0,0.1,0.05,0.43,0.22
6-5-3,0.07,0.0,0.0,0.05,0.08,0.0,0.41,0.09,0.07,0.0,0.19,0.11
6-5-4,0.04,0.08,0.06,0.03,0.26,0.0,0.0,0.09,0.27,0.0,0.08,0.14
