相対勝率_1,相対勝率_2,相対勝率_3,相対勝率_4,相対勝率_5,相対勝率_6,r1,r2,r3,p
1.983333333333333,-0.6966666666666677,-1.1066666666666674,0.12333333333333263,1.5133333333333323,-1.8166666666666675,1.0,2.0,3.0,1200.0
-0.8116666666666665,-0.6516666666666664,1.5083333333333337,0.2283333333333335,-0.18166666666666664,-0.09166666666666679,2.0,3.0,6.0,15170.0
1.2733333333333325,2.213333333333333,-1.6366666666666672,0.9733333333333327,-0.11666666666666714,-2.7066666666666674,2.0,1.0,5.0,3350.0
-0.7199999999999998,1.0199999999999996,-0.1900000000000004,-0.5300000000000002,1.1499999999999995,-0.7300000000000004,5.0,2.0,3.0,4580.0
1.2550000000000008,1.3850000000000007,-0.4949999999999992,0.7250000000000005,-1.3549999999999995,-1.5149999999999992,1.0,3.0,4.0,890.0
-0.2066666666666661,0.6333333333333337,-0.5066666666666659,-2.9366666666666665,2.743333333333334,0.27333333333333343,6.0,5.0,1.0,4400.0
-0.456666666666667,-1.6566666666666667,1.083333333333333,0.2233333333333336,1.5633333333333335,-0.7566666666666668,1.0,5.0,4.0,2350.0
2.25,0.33999999999999986,1.38,-0.3799999999999999,-2.31,-1.2799999999999998,1.0,2.0,3.0,210.0
0.79,-0.34999999999999964,-1.4299999999999997,1.7200000000000006,0.8500000000000005,-1.5799999999999992,4.0,5.0,3.0,23320.0
0.706666666666667,0.23666666666666725,-1.0633333333333326,1.9266666666666676,0.8266666666666671,-2.633333333333333,4.0,1.0,5.0,2510.0
1.1083333333333334,-0.5316666666666672,-1.0216666666666665,-0.871666666666667,0.7783333333333333,0.5383333333333331,1.0,5.0,4.0,1390.0
0.6066666666666665,0.8566666666666665,-0.6733333333333333,0.12666666666666693,-0.5533333333333332,-0.3633333333333333,1.0,4.0,2.0,880.0
-1.6083333333333338,0.05166666666666586,0.9316666666666658,0.4016666666666664,0.8716666666666661,-0.6483333333333339,3.0,1.0,6.0,9260.0
0.043333333333333,0.5133333333333328,0.12333333333333307,0.8033333333333328,0.5633333333333326,-2.0466666666666673,1.0,3.0,4.0,2300.0
-1.1900000000000004,-0.22000000000000064,1.3299999999999992,1.3899999999999997,-0.9100000000000001,-0.40000000000000036,3.0,4.0,2.0,1370.0
-0.5383333333333331,0.501666666666666,-0.7583333333333337,-0.2883333333333331,0.3216666666666663,0.7616666666666667,4.0,6.0,1.0,15530.0
1.2316666666666665,0.5216666666666665,-0.4783333333333335,2.1116666666666664,-0.3383333333333338,-3.048333333333334,1.0,4.0,3.0,800.0
-0.09333333333333371,-1.5933333333333333,1.2366666666666664,2.1766666666666667,-0.9133333333333331,-0.8133333333333335,4.0,3.0,1.0,2110.0
1.0149999999999997,-2.1550000000000002,0.17499999999999982,1.6150000000000002,0.7149999999999999,-1.3650000000000002,3.0,1.0,4.0,3140.0
2.298333333333334,-0.5116666666666667,1.2683333333333335,-0.6116666666666664,-0.6916666666666664,-1.7516666666666665,3.0,1.0,4.0,2580.0
0.6316666666666677,0.5216666666666674,-0.08833333333333204,-1.3183333333333325,-0.31833333333333247,0.5716666666666672,6.0,3.0,1.0,25470.0
1.6000000000000014,1.240000000000001,0.370000000000001,-0.669999999999999,0.6700000000000008,-3.2099999999999986,1.0,3.0,2.0,900.0
0.9683333333333337,-1.7016666666666662,1.7583333333333337,-1.0116666666666667,0.3583333333333334,-0.37166666666666615,1.0,3.0,2.0,730.0
0.03833333333333311,-0.4516666666666671,0.7683333333333326,-1.2716666666666674,0.9383333333333326,-0.02166666666666739,1.0,3.0,5.0,680.0
-0.646666666666667,0.39333333333333265,-0.686666666666667,0.9333333333333327,0.4133333333333331,-0.4066666666666672,3.0,1.0,2.0,13150.0
1.2500000000000009,-0.019999999999998685,-0.9899999999999989,0.5900000000000007,1.910000000000001,-2.7399999999999993,1.0,4.0,5.0,920.0
1.3233333333333333,0.4633333333333338,0.12333333333333307,-0.8666666666666663,0.1033333333333335,-1.1466666666666665,1.0,2.0,4.0,700.0
0.13166666666666593,-0.1683333333333339,-0.30833333333333357,-2.0283333333333338,2.421666666666666,-0.04833333333333378,1.0,5.0,4.0,1900.0
1.7249999999999996,1.4549999999999992,-1.4550000000000005,1.1549999999999994,-0.3550000000000004,-2.525000000000001,1.0,4.0,5.0,1040.0
1.1349999999999998,-0.26500000000000057,-1.1450000000000005,1.005,0.054999999999999716,-0.7850000000000001,1.0,4.0,6.0,1320.0
0.9766666666666666,-0.5533333333333332,0.7266666666666666,-1.0633333333333335,-0.4333333333333331,0.3466666666666667,1.0,3.0,6.0,2930.0
0.6016666666666666,0.36166666666666636,1.1416666666666666,-2.8483333333333336,0.4016666666666664,0.3416666666666668,1.0,3.0,5.0,590.0
1.5666666666666655,-0.24333333333333407,-0.14333333333333442,-0.30333333333333456,-0.2933333333333339,-0.5833333333333339,4.0,6.0,3.0,64840.0
1.0249999999999995,0.3149999999999995,-2.5450000000000004,-0.6850000000000005,0.29499999999999993,1.5949999999999998,4.0,6.0,2.0,23550.0
0.7750000000000004,1.415,-1.5249999999999995,0.665,-0.4950000000000001,-0.835,1.0,3.0,2.0,1380.0
0.11666666666666714,0.746666666666667,-0.31333333333333346,0.9066666666666672,-0.4833333333333334,-0.9733333333333327,4.0,5.0,6.0,26110.0
0.9366666666666656,0.2866666666666662,0.3866666666666658,-0.18333333333333401,-2.043333333333334,0.6166666666666663,1.0,3.0,6.0,1100.0
