3連単,型00_1強_6号艇ド弱型,型01_イン凹み_中枠強襲型,型02_5号艇エース_展開型,型03_6号艇エース_展開型,型04_1号艇一強_王道型,型05_6号艇エース_展開型,型06_5号艇エース_展開型,型07_5号艇エース_展開型,型08_6号艇エース_展開型,型09_イン凹み_中枠強襲型,型10_イン凹み_中枠強襲型,型11_4カド一撃型
4-2-3,0.04,0.65,0.1,0.11,0.03,0.27,0.49,0.16,0.12,0.49,0.54,0.54
4-2-5,0.2,0.16,0.42,0.0,0.13,0.0,1.1,0.28,0.12,0.64,0.64,0.42
4-2-6,0.0,0.41,0.26,0.11,0.2,0.87,0.06,0.12,0.28,1.33,0.74,0.15
4-3-1,0.16,0.73,0.32,0.06,0.0,0.41,0.43,0.56,0.2,0.25,0.35,0.75
4-3-2,0.16,0.37,0.13,0.06,0.1,0.5,0.43,0.12,0.2,0.29,0.49,0.51
4-3-5,0.2,0.41,0.45,0.11,0.03,0.09,0.86,0.52,0.04,0.34,0.44,0.39
4-3-6,0.08,0.61,0.16,0.11,0.03,0.59,0.06,0.16,0.39,0.34,0.1,0.36
4-5-1,0.48,0.45,0.96,0.17,0.23,0.05,0.92,0.4,0.32,0.34,0.69,0.45
4-5-2,0.32,0.16,0.64,0.0,0.13,0.09,0.49,0.36,0.32,0.34,0.89,0.24
4-5-3,0.08,0.37,0.29,0.11,0.1,0.09,0.8,0.64,0.12,0.15,0.39,0.24
4-5-6,0.0,0.49,0.61,0.23,0.1,0.05,0.12,0.2,0.47,0.34,0.35,0.3
4-6-1,0.04,0.57,0.16,0.0,0.03,1.46,0.0,0.08,0.95,0.54,0.15,0.39
4-6-2,0.08,0.16,0.26,0.11,0.2,0.68,0.0,0.16,0.43,1.13,0.25,0.24
4-6-3,0.0,0.37,0.1,0.06,0.1,0.55,0.0,0.04,0.16,0.34,0.05,0.12
4-6-5,0.08,0.28,0.22,0.23,0.13,0.14,0.06,0.12,0.28,0.29,0.2,0.09
5-1-2,0.99,0.28,0.93,0.79,0.33,0.0,0.67,0.84,0.32,0.2,1.13,0.12
5-1-3,0.36,0.37,0.42,0.85,0.07,0.14,0.98,1.24,0.2,0.0,0.84,0.18
5-1-4,0.64,0.12,0.77,0.11,0.13,0.05,0.8,0.8,0.2,0.25,0.49,0.48
5-1-6,0.16,0.41,0.83,0.96,0.26,0.05,0.24,0.44,0.51,0.25,0.35,0.15
5-2-1,0.2,0.12,0.29,0.68,0.39,0.09,1.1,0.48,0.2,0.2,0.59,0.15
5-2-3,0.12,0.12,0.22,0.45,0.03,0.0,0.49,0.32,0.0,0.1,0.49,0.09
5-2-4,0.0,0.16,0.16,0.11,0.1,0.05,0.55,0.08,0.0,0.15,0.59,0.03
5-2-6,0.04,0.16,0.13,0.34,0.1,0.0,0.18,0.08,0.04,0.2,0.59,0.03
5-3-1,0.12,0.2,0.19,0.17,0.1,0.0,0.43,0.48,0.16,0.05,0.35,0.18
5-3-2,0.12,0.2,0.26,0.4,0.07,0.05,0.55,0.16,0.04,0.05,0.3,0.03
5-3-4,0.08,0.2,0.29,0.06,0.07,0.0,0.37,0.52,0.0,0.05,0.35,0.06
5-3-6,0.0,0.12,0.03,0.73,0.1,0.0,0.06,0.32,0.12,0.2,0.25,0.0
5-4-1,0.12,0.04,0.74,0.11,0.16,0.0,0.43,0.52,0.16,0.1,0.44,0.18
5-4-2,0.16,0.2,0.38,0.17,0.0,0.0,0.49,0.24,0.12,0.2,0.74,0.09
5-4-3,0.12,0.16,0.1,0.0,0.07,0.0,0.49,0.24,0.04,0.05,0.25,0.12
5-4-6,0.0,0.24,0.26,0.06,0.07,0.0,0.06,0.2,0.0,0.1,0.49,0.12
5-6-1,0.0,0.16,0.13,0.51,0.07,0.0,0.06,0.28,0.28,0.1,0.25,0.12
5-6-2,0.0,0.04,0.13,0.4,0.13,0.0,0.06,0.04,0.04,0.29,0.3,0.06
5-6-3,0.0,0.16,0.06,0.45,0.03,0.0,0.0,0.08,0.08,0.15,0.15,0.0
5-6-4,0.0,0.08,0.13,0.0,0.0,0.0,0.0,0.16,0.24,0.25,0.1,0.0
6-1-2,0.08,0.49,0.1,0.51,0.2,1.41,0.06,0.08,0.43,0.69,0.05,0.03
6-1-3,0.04,0.85,0.03,0.85,0.03,1.05,0.0,0.0,0.32,0.34,0.0,0.12
6-1-4,0.08,0.28,0.22,0.17,0.1,0.87,0.0,0.04,0.43,0.29,0.0,0.15
6-1-5,0.0,0.24,0.13,0.45,0.0,0.09,0.0,0.08,0.47,0.2,0.05,0.0
6-2-1,0.04,0.24,0.06,0.57,0.07,0.68,0.06,0.0,0.16,0.54,0.15,0.06
6-2-3,0.0,0.28,0.0,0.11,0.03,0.55,0.0,0.0,0.12,0.2,0.15,0.0
6-2-4,0.0,0.32,0.03,0.17,0.0,0.59,0.06,0.0,0.2,0.64,0.1,0.03
6-2-5,0.04,0.28,0.03,0.17,0.1,0.0,0.06,0.04,0.16,0.29,0.05,0.03
6-3-1,0.0,0.61,0.0,0.23,0.03,0.32,0.0,0.0,0.08,0.25,0.0,0.0
6-3-2,0.0,0.28,0.0,0.23,0.0,0.41,0.0,0.0,0.08,0.2,0.0,0.0
6-3-4,0.0,0.45,0.03,0.11,0.03,0.32,0.0,0.0,0.12,0.15,0.1,0.03
6-3-5,0.0,0.08,0.03,0.23,0.0,0.09,0.0,0.04,0.2,0.05,0.1,0.09
6-4-1,0.0,0.12,0.06,0.17,0.0,0.68,0.0,0.0,0.43,0.15,0.0,0.06
6-4-2,0.0,0.28,0.1,0.17,0.03,0.91,0.06,0.04,0.12,0.29,0.05,0.09
6-4-3,0.0,0.28,0.03,0.0,0.03,0.41,0.0,0.08,0.12,0.1,0.05,0.0
6-4-5,0.0,0.16,0.03,0.0,0.0,0.05,0.0,0.0,0.0,0.25,0.05,0.03
6-5-1,0.0,0.2,0.06,0.34,0.07,0.09,0.0,0.08,0.08,0.0,0.0,0.03
6-5-2,0.0,0.16,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.06
6-5-3,0.0,0.16,0.06,0.28,0.0,0.05,0.0,0.04,0.12,0.15,0.0,0.03
6-5-4,0.04,0.12,0.0,0.0,0.03,0.0,0.0,0.0,0.2,0.05,0.05,0.03
