3連単,型00_1号艇軸_標準型,型01_2号艇軸_標準型,型02_5号艇ド弱_壁抜け型,型03_4カド一撃型,型04_5号艇エース_展開型,型05_1号艇ド弱_壁抜け型,型06_4カド一撃型,型07_4号艇ド弱_壁抜け型,型08_6号艇エース_展開型,型09_6号艇エース_展開型,型10_4号艇ド弱_壁抜け型,型11_5号艇エース_展開型
5-1-3,1.11,0.25,0.21,0.82,0.76,0.4,0.18,0.73,0.0,0.36,0.19,1.2
5-1-4,0.58,0.22,0.26,0.71,1.28,0.17,0.36,0.16,0.0,0.43,0.14,0.27
5-1-6,0.67,0.28,0.1,0.22,0.8,0.32,0.43,0.16,0.0,0.68,0.28,1.73
5-2-1,0.29,0.28,0.21,0.33,0.44,0.29,0.18,0.73,0.06,0.11,0.19,1.0
5-2-3,0.2,0.16,0.05,0.38,0.36,0.29,0.07,0.42,0.0,0.0,0.0,0.27
5-2-4,0.09,0.12,0.05,0.71,0.6,0.2,0.11,0.21,0.06,0.22,0.14,0.4
5-2-6,0.0,0.16,0.0,0.05,0.64,0.35,0.04,0.37,0.0,0.11,0.09,1.2
5-3-1,0.58,0.03,0.0,0.44,0.12,0.2,0.22,0.58,0.0,0.11,0.14,0.27
5-3-2,0.38,0.09,0.05,0.22,0.16,0.38,0.11,0.58,0.0,0.11,0.0,0.73
5-3-4,0.29,0.12,0.05,0.55,0.32,0.4,0.04,0.16,0.0,0.07,0.14,0.4
5-3-6,0.29,0.0,0.0,0.11,0.08,0.23,0.07,0.16,0.13,0.18,0.05,0.66
5-4-1,0.53,0.31,0.1,0.71,0.8,0.26,0.43,0.26,0.06,0.43,0.09,0.33
5-4-2,0.06,0.06,0.26,0.49,0.6,0.23,0.25,0.26,0.06,0.14,0.05,0.4
5-4-3,0.44,0.03,0.1,0.6,0.28,0.23,0.4,0.37,0.06,0.07,0.05,0.07
5-4-6,0.29,0.16,0.15,0.05,0.48,0.38,0.18,0.21,0.0,0.29,0.05,0.13
5-6-1,0.23,0.12,0.0,0.05,0.28,0.26,0.18,0.05,0.13,0.61,0.14,1.26
5-6-2,0.06,0.09,0.05,0.05,0.44,0.32,0.04,0.05,0.19,0.25,0.05,1.13
5-6-3,0.15,0.0,0.1,0.0,0.2,0.29,0.14,0.26,0.0,0.22,0.14,0.2
5-6-4,0.06,0.09,0.0,0.05,0.28,0.26,0.14,0.05,0.06,0.11,0.0,0.33
6-1-2,0.15,0.53,0.0,0.0,0.16,0.23,0.11,0.16,0.91,1.15,0.23,1.06
6-1-3,0.18,0.06,0.0,0.05,0.0,0.12,0.25,0.1,0.78,0.86,0.56,0.6
6-1-4,0.12,0.25,0.1,0.0,0.2,0.14,0.25,0.0,0.78,0.68,0.23,0.07
6-1-5,0.12,0.06,0.0,0.0,0.0,0.09,0.07,0.0,0.13,0.47,0.19,0.66
6-2-1,0.09,0.53,0.1,0.0,0.08,0.17,0.04,0.05,0.84,0.57,0.09,0.73
6-2-3,0.06,0.12,0.05,0.0,0.0,0.23,0.0,0.05,0.13,0.29,0.37,0.33
6-2-4,0.06,0.28,0.05,0.0,0.04,0.26,0.14,0.0,0.52,0.4,0.05,0.07
