3連単,型00_6号艇エース_展開型,型01_4カド一撃型,型02_2号艇ド弱_壁抜け型,型03_5号艇エース_展開型,型04_イン凹み_中枠強襲型,型05_1強_6号艇ド弱型,型06_6号艇ド弱_壁抜け型,型07_1号艇一強_王道型,型08_イン凹み_中枠強襲型,型09_1号艇一強_王道型,型10_イン凹み_中枠強襲型,型11_6号艇エース_展開型
4-2-5,0.2,0.42,0.0,0.18,1.13,0.71,0.44,0.12,0.27,0.12,0.52,0.53
4-2-6,0.48,0.34,0.05,0.27,0.38,0.19,0.06,0.35,0.21,0.33,0.41,0.91
4-3-1,0.34,0.5,0.42,0.22,0.42,0.94,0.33,0.64,0.16,0.12,0.55,0.27
4-3-2,0.48,0.27,0.09,0.18,0.54,0.52,0.55,0.7,0.11,0.24,0.55,0.42
4-3-5,0.2,0.73,0.28,0.31,0.25,0.66,0.33,0.23,0.0,0.27,0.69,0.11
4-3-6,0.61,0.42,0.24,0.13,0.08,0.14,0.11,0.82,0.11,0.15,1.0,0.53
4-5-1,0.07,1.18,0.24,0.75,0.88,1.46,0.72,0.18,0.27,0.46,0.55,0.34
4-5-2,0.07,0.65,0.0,0.4,0.71,0.42,0.66,0.06,0.0,0.3,0.34,0.49
4-5-3,0.0,0.38,0.19,0.18,0.29,0.8,0.44,0.12,0.05,0.21,0.41,0.15
4-5-6,0.07,1.07,0.33,0.75,0.33,0.28,0.06,0.29,0.32,0.24,0.93,0.76
4-6-1,0.88,0.73,0.24,0.04,0.21,0.14,0.0,1.0,0.11,0.09,0.45,0.99
4-6-2,0.95,0.31,0.09,0.27,0.33,0.05,0.0,0.41,0.05,0.12,0.48,0.68
4-6-3,0.54,0.23,0.09,0.22,0.21,0.0,0.06,0.41,0.11,0.09,0.31,0.11
4-6-5,0.07,0.69,0.33,0.35,0.42,0.09,0.0,0.29,0.21,0.09,0.65,0.38
5-1-2,0.07,0.31,0.14,1.37,0.42,0.42,0.88,0.0,0.91,0.36,0.14,0.42
5-1-3,0.0,0.42,0.42,1.33,0.42,0.33,1.27,0.18,0.85,0.27,0.58,0.04
5-1-4,0.07,0.5,0.09,0.93,0.29,0.85,0.33,0.29,0.16,0.09,0.45,0.19
5-1-6,0.0,0.5,0.33,1.15,0.17,0.14,0.17,0.06,0.37,0.27,0.38,0.49
5-2-1,0.0,0.19,0.05,0.93,0.33,0.24,0.72,0.06,0.69,0.33,0.45,0.23
5-2-3,0.07,0.08,0.05,0.13,0.25,0.14,0.39,0.12,1.01,0.06,0.24,0.11
5-2-4,0.07,0.19,0.05,0.35,0.58,0.14,0.17,0.0,0.11,0.03,0.1,0.27
5-2-6,0.07,0.08,0.05,0.18,0.46,0.05,0.17,0.06,0.64,0.15,0.14,0.3
