3連単,型00_イン凹み_中枠強襲型,型01_1号艇軸_標準型,型02_1強_6号艇ド弱型,型03_イン凹み_中枠強襲型,型04_1号艇一強_王道型,型05_4カド一撃型,型06_4カド一撃型,型07_6号艇エース_展開型,型08_1強_6号艇ド弱型,型09_イン凹み_中枠強襲型,型10_6号艇エース_展開型,型11_5号艇エース_展開型
3-5-6,1.01,0.0,0.35,0.66,0.22,0.23,0.16,0.44,0.1,0.42,0.43,0.12
3-6-1,0.27,0.48,0.16,0.11,0.15,0.2,0.08,0.74,0.0,0.21,0.6,0.06
3-6-2,0.43,0.38,0.06,0.5,0.15,0.07,0.08,0.69,0.0,0.42,0.3,0.06
3-6-4,0.35,0.32,0.09,0.06,0.22,0.27,0.28,0.39,0.05,0.47,0.56,0.0
3-6-5,0.39,0.0,0.06,0.33,0.04,0.17,0.08,0.35,0.0,0.37,0.52,0.12
4-1-2,0.58,1.56,0.47,0.22,0.6,1.13,1.62,0.15,2.52,1.15,0.86,0.81
4-1-3,0.5,0.91,0.28,0.44,0.45,1.43,0.61,0.15,1.77,0.84,0.3,1.0
4-1-5,1.24,0.32,0.57,0.28,0.97,1.53,1.38,0.2,1.72,0.26,0.47,0.44
4-1-6,0.62,1.18,0.38,0.06,0.56,1.37,1.06,0.64,0.2,0.52,1.16,0.0
4-2-1,0.39,0.75,0.5,0.22,0.19,0.5,1.34,0.3,0.86,0.99,0.69,0.44
4-2-3,0.15,0.59,0.13,0.11,0.15,0.3,0.65,0.1,0.86,1.41,0.3,0.56
4-2-5,0.39,0.27,0.19,0.77,0.11,0.3,0.89,0.0,0.5,0.68,0.34,0.87
4-2-6,0.74,0.75,0.31,0.11,0.22,0.4,0.65,0.05,0.3,0.63,0.86,0.06
4-3-1,0.62,0.75,0.41,0.33,0.15,0.83,0.28,0.05,0.81,0.42,0.13,0.31
4-3-2,0.43,0.27,0.19,0.17,0.07,0.17,0.49,0.15,0.5,0.84,0.26,0.44
4-3-5,0.7,0.11,0.22,0.11,0.3,0.57,0.32,0.1,0.55,0.99,0.34,0.87
4-3-6,0.58,0.48,0.19,0.17,0.26,0.4,0.24,0.44,0.15,0.78,0.6,0.12
4-5-1,0.54,0.11,0.25,0.33,0.89,0.57,1.34,0.2,1.31,0.47,0.56,0.5
4-5-2,0.5,0.11,0.16,0.33,0.3,0.37,1.71,0.1,0.45,0.26,0.47,1.18
4-5-3,1.12,0.0,0.22,0.17,0.34,0.67,0.69,0.2,0.4,0.31,0.3,0.31
4-5-6,0.66,0.16,0.28,0.55,0.56,0.67,0.89,0.25,0.15,0.31,0.69,0.19
4-6-1,0.39,1.24,0.16,0.06,0.26,0.63,0.24,0.2,0.05,0.21,0.86,0.06
4-6-2,0.15,0.7,0.06,0.11,0.37,0.23,0.45,0.05,0.05,0.47,0.69,0.06
4-6-3,0.35,0.32,0.13,0.06,0.07,0.43,0.2,0.25,0.05,0.57,0.43,0.0
4-6-5,0.43,0.27,0.09,0.06,0.15,0.67,0.28,0.1,0.1,0.16,0.6,0.12
5-1-2,0.74,0.22,0.41,1.76,1.01,0.27,0.85,0.3,0.3,0.26,0.65,1.31
5-1-3,0.85,0.05,0.22,0.94,0.89,0.47,0.32,0.39,0.4,0.21,0.3,1.56
5-1-4,0.54,0.05,0.28,0.61,0.6,0.57,0.53,0.3,0.5,0.21,0.22,0.81
5-1-6,0.77,0.11,0.22,0.77,0.89,0.5,0.49,0.44,0.2,0.05,0.34,0.0
5-2-1,0.27,0.0,0.25,1.54,0.41,0.13,0.53,0.1,0.2,0.37,0.26,0.44
5-2-3,0.35,0.05,0.16,1.21,0.15,0.1,0.32,0.15,0.2,0.31,0.26,0.93
5-2-4,0.31,0.0,0.09,0.39,0.26,0.03,0.57,0.05,0.1,0.16,0.17,0.25
5-2-6,0.35,0.0,0.22,0.83,0.3,0.07,0.2,0.15,0.0,0.1,0.34,0.25
5-3-1,0.81,0.0,0.38,0.66,0.11,0.3,0.0,0.49,0.1,0.1,0.13,0.37
5-3-2,0.43,0.0,0.03,0.72,0.19,0.17,0.12,0.15,0.1,0.31,0.22,0.81
5-3-4,0.43,0.05,0.06,0.06,0.22,0.2,0.2,0.15,0.1,0.21,0.0,0.56
5-3-6,0.62,0.05,0.16,0.66,0.22,0.13,0.16,0.25,0.0,0.1,0.22,0.12
5-4-1,0.7,0.11,0.19,0.22,0.48,0.27,0.61,0.15,0.3,0.21,0.09,0.75
5-4-2,0.5,0.05,0.0,0.72,0.3,0.23,0.61,0.0,0.2,0.1,0.26,0.93
5-4-3,0.5,0.0,0.16,0.28,0.07,0.13,0.2,0.0,0.0,0.21,0.13,1.12
5-4-6,0.43,0.05,0.16,0.22,0.45,0.23,0.45,0.3,0.0,0.1,0.3,0.31
5-6-1,0.31,0.0,0.13,0.33,0.56,0.2,0.08,0.1,0.15,0.16,0.22,0.0
5-6-2,0.31,0.05,0.13,0.55,0.15,0.13,0.28,0.1,0.05,0.16,0.22,0.12
5-6-3,0.39,0.0,0.06,0.72,0.11,0.03,0.16,0.2,0.05,0.0,0.3,0.12
5-6-4,0.31,0.05,0.13,0.28,0.34,0.07,0.28,0.15,0.05,0.05,0.47,0.25
6-1-2,0.27,0.75,0.25,0.22,0.15,0.33,0.16,1.13,0.15,0.05,1.12,0.12
6-1-3,0.35,0.59,0.09,0.11,0.19,0.3,0.0,0.84,0.0,0.0,0.69,0.06
6-1-4,0.12,0.38,0.06,0.17,0.15,0.53,0.04,0.3,0.05,0.16,0.69,0.06
6-1-5,0.23,0.16,0.13,0.22,0.22,0.17,0.08,0.54,0.0,0.0,0.26,0.06
6-2-1,0.15,0.48,0.22,0.33,0.19,0.03,0.12,0.3,0.1,0.37,0.69,0.12
6-2-3,0.04,0.32,0.06,0.28,0.15,0.1,0.04,0.39,0.05,0.21,0.65,0.0
6-2-4,0.12,0.32,0.03,0.06,0.0,0.2,0.16,0.2,0.0,0.05,0.6,0.0
6-2-5,0.0,0.22,0.03,0.39,0.07,0.03,0.04,0.0,0.05,0.0,0.26,0.0
6-3-1,0.15,0.48,0.06,0.17,0.07,0.13,0.08,0.44,0.0,0.21,0.34,0.0
6-3-2,0.12,0.38,0.03,0.06,0.07,0.1,0.0,0.25,0.0,0.21,0.43,0.0
6-3-4,0.15,0.48,0.03,0.06,0.0,0.07,0.0,0.25,0.05,0.1,0.43,0.12
6-3-5,0.27,0.0,0.0,0.06,0.07,0.07,0.0,0.2,0.0,0.1,0.39,0.0
6-4-1,0.19,0.48,0.09,0.11,0.15,0.03,0.24,0.15,0.0,0.21,0.47,0.0
6-4-2,0.19,0.43,0.0,0.0,0.19,0.2,0.08,0.15,0.0,0.16,0.6,0.0
6-4-3,0.19,0.43,0.0,0.06,0.07,0.13,0.04,0.1,0.0,0.0,0.39,0.0
6-4-5,0.15,0.16,0.06,0.17,0.19,0.2,0.08,0.15,0.0,0.1,0.3,0.0
6-5-1,0.23,0.05,0.06,0.17,0.19,0.07,0.0,0.35,0.05,0.05,0.13,0.0
6-5-2,0.19,0.0,0.0,0.17,0.07,0.1,0.04,0.0,0.0,0.0,0.39,0.0
6-5-3,0.19,0.05,0.06,0.11,0.0,0.03,0.0,0.25,0.0,0.05,0.26,0.0
6-5-4,0.12,0.0,0.03,0.06,0.15,0.1,0.04,0.2,0.0,0.0,0.34,0.12
